age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,poutcome,deposit,p_recency
28,management,single,tertiary,no,3796,no,no,cellular,8,jul,315,unknown,yes,None
22,student,single,secondary,no,185,no,no,cellular,8,jul,153,unknown,yes,None
49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,unknown,yes,None
20,student,single,unknown,no,829,no,no,cellular,9,jul,253,unknown,yes,None
19,student,single,primary,no,103,no,no,cellular,10,jul,104,unknown,yes,None
34,blue-collar,single,primary,no,79,no,no,telephone,10,jul,336,unknown,yes,None
73,management,married,tertiary,no,1609,no,no,cellular,14,jul,169,unknown,yes,None
59,blue-collar,divorced,primary,no,989,no,no,cellular,20,jul,125,unknown,yes,None
25,student,single,tertiary,no,58,no,no,cellular,24,jul,139,unknown,yes,None
28,management,single,tertiary,no,5474,no,no,cellular,28,jul,486,unknown,yes,None
28,management,married,tertiary,no,1240,no,no,cellular,4,aug,849,unknown,yes,None
52,admin.,married,secondary,no,1228,yes,yes,cellular,4,aug,218,unknown,yes,None
57,management,married,tertiary,no,1660,no,no,cellular,4,aug,642,unknown,yes,None
49,management,divorced,tertiary,no,914,no,no,cellular,4,aug,185,unknown,yes,None
33,technician,married,tertiary,no,1699,no,no,cellular,4,aug,600,unknown,yes,None
68,retired,married,secondary,no,19317,yes,no,cellular,4,aug,249,unknown,yes,None
29,technician,single,secondary,no,382,no,no,cellular,5,aug,409,unknown,yes,None
49,admin.,divorced,secondary,no,1718,no,yes,cellular,5,aug,211,unknown,yes,None
21,student,single,secondary,no,216,no,no,cellular,5,aug,414,unknown,yes,None
45,admin.,married,secondary,no,153,no,no,cellular,5,aug,277,unknown,yes,None
43,management,married,tertiary,no,1791,no,no,cellular,5,aug,254,unknown,yes,None
61,management,married,tertiary,no,175,no,no,telephone,5,aug,270,unknown,yes,None
57,services,single,secondary,no,0,no,no,cellular,6,aug,355,unknown,yes,None
65,unknown,married,unknown,no,4717,no,no,telephone,6,aug,256,unknown,yes,None
67,retired,married,tertiary,no,701,no,no,cellular,6,aug,254,unknown,yes,None
66,retired,married,tertiary,no,3,no,no,cellular,6,aug,550,unknown,yes,None
67,management,married,tertiary,no,405,no,no,cellular,7,aug,345,unknown,yes,None
57,retired,married,secondary,no,168,no,no,cellular,7,aug,342,unknown,yes,None
38,admin.,married,tertiary,no,4297,no,no,cellular,7,aug,206,unknown,yes,None
56,management,divorced,tertiary,no,10532,no,no,cellular,7,aug,324,unknown,yes,None
69,technician,married,secondary,no,9064,no,no,cellular,7,aug,714,unknown,yes,None
32,services,single,secondary,no,6983,no,no,cellular,7,aug,255,unknown,yes,None
72,retired,married,tertiary,no,2,no,no,cellular,7,aug,147,unknown,yes,None
72,retired,married,primary,no,1612,no,no,cellular,7,aug,530,unknown,yes,None
33,unemployed,married,secondary,no,1211,no,no,cellular,7,aug,456,unknown,yes,None
34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,unknown,yes,None
55,entrepreneur,divorced,secondary,no,538,yes,no,cellular,7,aug,353,unknown,yes,None
71,retired,married,primary,no,2600,no,no,cellular,7,aug,212,unknown,yes,None
60,management,single,tertiary,no,1034,yes,no,cellular,7,aug,231,unknown,yes,None
18,student,single,unknown,no,108,no,no,cellular,10,aug,167,unknown,yes,None
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,10,aug,290,unknown,yes,None
42,unemployed,married,unknown,no,190,no,no,cellular,11,aug,704,unknown,yes,None
70,housemaid,divorced,primary,no,1311,no,no,cellular,11,aug,651,unknown,yes,None
60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,unknown,yes,None
53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,aug,254,unknown,yes,None
48,unemployed,divorced,secondary,no,201,no,no,cellular,11,aug,140,unknown,yes,None
39,management,single,tertiary,no,3840,yes,no,cellular,11,aug,315,unknown,yes,None
46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,1244,unknown,yes,None
42,blue-collar,married,secondary,no,413,yes,no,cellular,11,aug,589,unknown,yes,None
21,student,single,secondary,no,123,no,no,telephone,12,aug,449,unknown,yes,None
35,self-employed,single,tertiary,no,353,no,no,cellular,12,aug,582,unknown,yes,None
50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,1336,unknown,yes,None
75,retired,married,primary,no,2970,no,no,cellular,12,aug,641,unknown,yes,None
20,student,single,primary,no,6991,no,no,cellular,12,aug,178,unknown,yes,None
57,admin.,single,secondary,no,2223,no,no,cellular,12,aug,1064,unknown,yes,None
36,management,married,tertiary,no,2987,yes,no,cellular,12,aug,307,unknown,yes,None
18,student,single,primary,no,608,no,no,cellular,12,aug,267,unknown,yes,None
43,technician,single,secondary,no,451,no,no,cellular,12,aug,289,unknown,yes,None
74,retired,married,primary,no,0,no,no,telephone,13,aug,562,unknown,yes,None
45,unemployed,divorced,primary,yes,11,no,no,cellular,13,aug,489,unknown,yes,None
32,management,single,tertiary,no,2465,no,no,cellular,13,aug,414,unknown,yes,None
29,admin.,single,tertiary,no,41,yes,no,cellular,13,aug,148,unknown,yes,None
44,technician,divorced,secondary,no,14,no,no,cellular,13,aug,234,unknown,yes,None
23,student,single,secondary,no,431,no,no,cellular,13,aug,496,unknown,yes,None
34,management,single,tertiary,no,13014,no,no,cellular,13,aug,738,unknown,yes,None
36,technician,single,secondary,no,376,no,no,cellular,13,aug,479,unknown,yes,None
57,retired,single,tertiary,no,842,no,no,cellular,13,aug,284,unknown,yes,None
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,unknown,yes,None
37,management,married,tertiary,no,1276,no,no,cellular,14,aug,156,unknown,yes,None
46,unemployed,single,tertiary,no,44,no,no,cellular,14,aug,225,unknown,yes,None
36,management,married,primary,no,1506,no,no,cellular,14,aug,326,unknown,yes,None
62,management,married,tertiary,no,557,no,no,cellular,14,aug,185,unknown,yes,None
26,blue-collar,single,secondary,no,535,no,no,cellular,14,aug,125,unknown,yes,None
45,management,married,tertiary,no,2671,no,no,cellular,14,aug,94,unknown,yes,None
63,technician,married,secondary,no,896,yes,no,cellular,14,aug,276,unknown,yes,None
25,management,single,tertiary,no,528,no,no,cellular,14,aug,201,unknown,yes,None
56,management,married,unknown,no,4623,no,no,cellular,17,aug,348,unknown,yes,None
82,retired,married,secondary,no,276,no,no,telephone,17,aug,199,unknown,yes,None
77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,unknown,yes,None
36,services,single,tertiary,no,1189,no,no,cellular,17,aug,220,unknown,yes,None
50,technician,married,secondary,no,2218,yes,no,cellular,17,aug,711,unknown,yes,None
55,management,married,tertiary,no,12972,no,no,telephone,18,aug,205,unknown,yes,None
31,management,married,tertiary,no,537,yes,no,cellular,18,aug,216,unknown,yes,None
67,retired,divorced,tertiary,no,443,no,no,cellular,18,aug,441,unknown,yes,None
25,technician,single,tertiary,no,3411,no,no,cellular,19,aug,225,unknown,yes,None
59,retired,divorced,secondary,no,1,no,no,cellular,19,aug,335,unknown,yes,None
42,management,married,tertiary,no,976,no,no,cellular,19,aug,164,unknown,yes,None
29,management,single,tertiary,no,2531,no,no,cellular,19,aug,634,unknown,yes,None
32,management,married,tertiary,no,1270,no,no,cellular,19,aug,232,unknown,yes,None
22,student,single,tertiary,no,691,no,no,cellular,19,aug,338,unknown,yes,None
25,entrepreneur,single,tertiary,no,347,no,no,cellular,20,aug,267,unknown,yes,None
34,self-employed,single,tertiary,no,9962,no,no,cellular,20,aug,474,unknown,yes,None
35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,unknown,yes,None
45,housemaid,married,secondary,no,4068,no,no,cellular,20,aug,184,unknown,yes,None
47,management,married,tertiary,no,0,no,yes,cellular,21,aug,374,unknown,yes,None
65,retired,married,secondary,no,2326,no,yes,cellular,21,aug,276,unknown,yes,None
22,student,single,secondary,no,144,no,no,cellular,21,aug,116,unknown,yes,None
71,retired,divorced,secondary,no,5584,no,no,cellular,21,aug,534,unknown,yes,None
48,housemaid,married,tertiary,no,5473,no,no,cellular,24,aug,232,unknown,yes,None
64,retired,married,tertiary,no,380,no,no,cellular,25,aug,479,unknown,yes,None
69,retired,married,secondary,no,0,no,no,cellular,25,aug,412,unknown,yes,None
63,housemaid,married,primary,no,91,no,no,telephone,26,aug,128,unknown,yes,None
70,retired,married,secondary,no,1853,no,no,telephone,26,aug,314,unknown,yes,None
60,technician,single,primary,no,11262,no,no,cellular,26,aug,323,unknown,yes,None
86,retired,divorced,primary,no,0,no,no,telephone,26,aug,189,unknown,yes,None
72,retired,married,secondary,no,1129,no,no,cellular,26,aug,186,unknown,yes,None
60,retired,married,tertiary,no,108,no,no,cellular,26,aug,624,unknown,yes,None
66,retired,married,secondary,no,2048,no,no,cellular,27,aug,212,unknown,yes,None
33,technician,single,tertiary,no,3689,no,no,cellular,27,aug,445,unknown,yes,None
62,unemployed,married,secondary,no,780,no,no,cellular,28,aug,162,unknown,yes,None
29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,622,unknown,yes,None
39,blue-collar,single,primary,no,24277,no,no,cellular,28,aug,261,unknown,yes,None
36,management,married,tertiary,no,1113,no,no,cellular,1,sep,212,unknown,yes,None
27,admin.,married,secondary,no,1596,no,no,cellular,1,sep,82,unknown,yes,None
70,retired,married,secondary,no,2626,no,no,cellular,2,sep,140,unknown,yes,None
63,retired,married,secondary,no,4752,no,no,cellular,2,sep,233,unknown,yes,None
30,admin.,single,secondary,no,0,no,no,cellular,4,sep,316,unknown,yes,None
59,admin.,single,secondary,no,4744,no,no,cellular,4,sep,879,unknown,yes,None
73,retired,married,unknown,no,3443,no,no,telephone,4,sep,770,unknown,yes,None
64,retired,married,tertiary,no,1644,no,no,telephone,7,sep,569,unknown,yes,None
63,retired,married,tertiary,no,1795,no,no,cellular,7,sep,219,unknown,yes,None
34,management,single,tertiary,no,268,no,no,cellular,7,sep,587,unknown,yes,None
47,retired,single,primary,no,3033,no,no,cellular,8,sep,293,unknown,yes,None
70,retired,divorced,secondary,no,0,no,no,cellular,8,sep,206,unknown,yes,None
18,student,single,unknown,no,108,no,no,cellular,8,sep,169,unknown,yes,None
24,technician,single,secondary,no,726,no,no,cellular,8,sep,445,unknown,yes,None
26,management,single,tertiary,no,1094,yes,no,cellular,8,sep,137,unknown,yes,None
25,student,single,unknown,no,480,no,no,cellular,8,sep,140,unknown,yes,None
42,management,married,tertiary,no,1205,no,no,telephone,8,sep,376,unknown,yes,None
30,blue-collar,single,secondary,no,161,no,yes,telephone,8,sep,298,unknown,yes,None
76,retired,divorced,primary,no,802,no,no,cellular,9,sep,475,unknown,yes,None
70,retired,married,primary,no,6538,no,no,cellular,9,sep,394,unknown,yes,None
60,retired,married,secondary,no,0,no,no,cellular,9,sep,408,unknown,yes,None
51,unemployed,married,secondary,no,1416,no,no,cellular,9,sep,345,unknown,yes,None
71,retired,married,tertiary,no,14220,yes,no,cellular,9,sep,397,unknown,yes,None
32,admin.,single,secondary,no,555,yes,no,cellular,9,sep,344,unknown,yes,None
45,management,married,tertiary,no,786,no,no,cellular,10,sep,84,unknown,yes,None
53,entrepreneur,married,primary,no,27,yes,no,telephone,10,sep,230,unknown,yes,None
56,admin.,single,secondary,no,2815,yes,no,cellular,11,sep,212,unknown,yes,None
42,technician,married,secondary,no,3082,no,no,cellular,11,sep,285,unknown,yes,None
73,retired,married,unknown,no,739,no,no,cellular,11,sep,210,unknown,yes,None
73,retired,married,tertiary,no,1843,no,no,cellular,11,sep,106,unknown,yes,None
74,retired,married,primary,no,1765,no,no,telephone,11,sep,290,unknown,yes,None
71,retired,divorced,tertiary,yes,1236,yes,no,cellular,14,sep,335,unknown,yes,None
41,admin.,divorced,secondary,no,6046,yes,yes,telephone,14,sep,185,unknown,yes,None
73,retired,married,primary,no,934,no,no,cellular,14,sep,961,unknown,yes,None
49,technician,divorced,tertiary,no,596,yes,no,telephone,15,sep,722,unknown,yes,None
40,admin.,married,secondary,no,4775,no,no,cellular,15,sep,215,unknown,yes,None
56,services,married,secondary,no,654,no,no,cellular,15,sep,875,unknown,yes,None
52,housemaid,married,primary,no,10943,no,no,cellular,16,sep,292,unknown,yes,None
38,technician,married,secondary,no,4539,no,no,cellular,16,sep,387,unknown,yes,None
46,management,married,tertiary,no,2817,no,no,cellular,17,sep,543,unknown,yes,None
26,management,single,tertiary,no,1646,no,no,cellular,18,sep,890,unknown,yes,None
71,retired,divorced,secondary,no,4380,no,no,cellular,22,sep,369,unknown,yes,None
47,admin.,married,secondary,no,2601,no,no,cellular,24,sep,261,unknown,yes,None
42,management,divorced,tertiary,no,238,no,no,cellular,25,sep,692,unknown,yes,None
77,retired,divorced,secondary,no,0,no,no,cellular,25,sep,210,unknown,yes,None
61,management,married,tertiary,no,3371,no,no,cellular,28,sep,299,unknown,yes,None
84,entrepreneur,married,secondary,no,0,no,no,telephone,30,sep,992,unknown,yes,None
47,management,married,tertiary,no,288,no,no,cellular,1,oct,101,unknown,yes,None
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,unknown,yes,None
30,technician,single,secondary,no,158,no,no,cellular,6,oct,144,unknown,yes,None
60,retired,married,primary,no,1588,no,no,cellular,6,oct,728,unknown,yes,None
44,management,married,unknown,no,282,no,no,cellular,6,oct,296,unknown,yes,None
54,unknown,married,unknown,no,895,no,no,cellular,7,oct,335,unknown,yes,None
25,technician,single,secondary,no,139,no,yes,cellular,12,oct,138,unknown,yes,None
21,student,single,secondary,no,2488,no,no,cellular,12,oct,180,unknown,yes,None
73,retired,divorced,secondary,no,7111,yes,no,cellular,12,oct,146,unknown,yes,None
67,management,divorced,tertiary,no,361,no,no,cellular,13,oct,411,unknown,yes,None
51,entrepreneur,divorced,tertiary,no,2109,no,no,cellular,13,oct,79,unknown,yes,None
48,management,married,tertiary,no,1093,yes,yes,cellular,13,oct,1226,unknown,yes,None
35,technician,single,tertiary,no,670,no,no,cellular,13,oct,301,unknown,yes,None
83,retired,single,primary,no,1965,no,no,telephone,13,oct,1003,unknown,yes,None
50,management,married,primary,no,313,no,no,telephone,14,oct,958,unknown,yes,None
66,housemaid,married,primary,no,40,no,no,telephone,14,oct,290,unknown,yes,None
26,admin.,single,secondary,no,766,no,no,cellular,15,oct,457,unknown,yes,None
22,services,single,secondary,no,129,no,no,cellular,16,oct,258,unknown,yes,None
27,management,married,tertiary,no,893,no,no,cellular,16,oct,154,unknown,yes,None
37,services,married,secondary,no,4017,no,no,cellular,16,oct,156,unknown,yes,None
40,technician,married,secondary,no,2338,no,no,cellular,16,oct,717,unknown,yes,None
61,management,married,tertiary,no,0,no,no,cellular,16,oct,136,unknown,yes,None
61,technician,divorced,secondary,no,6481,no,no,cellular,19,oct,131,unknown,yes,None
47,blue-collar,married,secondary,no,820,no,no,cellular,19,oct,98,unknown,yes,None
47,services,single,unknown,no,1784,no,no,cellular,19,oct,385,unknown,yes,None
30,student,single,tertiary,no,7529,no,no,cellular,19,oct,328,unknown,yes,None
72,retired,married,primary,no,1388,no,no,telephone,20,oct,513,unknown,yes,None
77,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,unknown,yes,None
36,technician,married,secondary,no,480,no,no,cellular,20,oct,213,unknown,yes,None
46,admin.,single,secondary,no,1693,yes,no,cellular,20,oct,427,unknown,yes,None
87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,unknown,yes,None
57,management,married,tertiary,no,375,no,no,cellular,21,oct,135,unknown,yes,None
51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,unknown,yes,None
76,retired,divorced,primary,no,2693,no,no,cellular,21,oct,107,unknown,yes,None
19,student,single,secondary,no,329,no,no,cellular,22,oct,252,unknown,yes,None
55,management,divorced,tertiary,no,0,no,no,cellular,22,oct,360,unknown,yes,None
92,retired,married,unknown,no,775,no,no,cellular,22,oct,313,unknown,yes,None
78,retired,married,unknown,no,4807,no,no,telephone,22,oct,1002,unknown,yes,None
43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,unknown,yes,None
61,retired,married,secondary,no,86,no,no,cellular,23,oct,149,unknown,yes,None
76,retired,married,secondary,no,4112,no,no,telephone,23,oct,282,unknown,yes,None
81,retired,married,primary,no,243,no,no,cellular,27,oct,131,unknown,yes,None
57,technician,married,secondary,no,254,no,no,cellular,27,oct,207,unknown,yes,None
22,student,single,secondary,no,23,no,no,cellular,27,oct,137,unknown,yes,None
53,unknown,married,primary,no,732,no,no,cellular,27,oct,759,unknown,yes,None
60,admin.,married,unknown,no,4629,yes,no,cellular,27,oct,624,unknown,yes,None
44,management,single,tertiary,no,5063,no,no,cellular,27,oct,418,unknown,yes,None
36,student,single,tertiary,no,129,no,no,cellular,27,oct,149,unknown,yes,None
75,self-employed,married,unknown,no,4984,no,no,telephone,28,oct,509,unknown,yes,None
65,retired,married,primary,no,1004,no,no,cellular,28,oct,371,unknown,yes,None
64,retired,married,secondary,no,4787,no,no,cellular,28,oct,501,unknown,yes,None
31,management,married,tertiary,no,81,yes,no,cellular,29,oct,164,unknown,yes,None
36,management,married,tertiary,no,203,no,no,cellular,29,oct,139,unknown,yes,None
64,management,married,tertiary,no,3951,no,no,cellular,29,oct,164,unknown,yes,None
54,technician,married,unknown,no,240,yes,no,cellular,29,oct,142,unknown,yes,None
51,self-employed,single,secondary,no,0,no,no,cellular,29,oct,1707,unknown,yes,None
72,retired,married,secondary,no,0,no,no,cellular,29,oct,189,unknown,yes,None
30,management,married,tertiary,no,944,no,no,cellular,29,oct,251,unknown,yes,None
60,blue-collar,married,primary,no,5,no,no,cellular,29,oct,401,unknown,yes,None
47,management,single,tertiary,no,551,no,no,cellular,29,oct,124,unknown,yes,None
21,student,single,primary,no,8278,no,no,cellular,29,oct,445,unknown,yes,None
62,management,married,tertiary,no,7458,no,no,cellular,30,oct,212,unknown,yes,None
26,technician,single,secondary,no,44,no,no,cellular,30,oct,217,unknown,yes,None
36,blue-collar,married,secondary,no,1193,no,no,cellular,30,oct,640,unknown,yes,None
87,retired,married,primary,no,230,no,no,cellular,30,oct,144,unknown,yes,None
61,retired,married,primary,no,8729,no,no,cellular,30,oct,480,unknown,yes,None
70,retired,married,secondary,no,2384,no,no,cellular,30,oct,196,unknown,yes,None
41,services,married,tertiary,no,881,no,no,cellular,30,oct,257,unknown,yes,None
22,student,single,secondary,no,1522,no,no,cellular,30,oct,368,unknown,yes,None
60,retired,divorced,secondary,no,4243,no,no,cellular,30,oct,416,unknown,yes,None
59,management,married,secondary,no,4412,no,no,cellular,2,nov,162,unknown,yes,None
29,student,single,unknown,no,10332,no,no,cellular,2,nov,46,unknown,yes,None
37,management,married,tertiary,no,238,no,no,cellular,3,nov,149,unknown,yes,None
52,admin.,single,secondary,no,2398,yes,no,cellular,3,nov,412,unknown,yes,None
67,retired,divorced,secondary,no,704,no,no,cellular,3,nov,537,unknown,yes,None
29,technician,single,secondary,no,938,no,no,cellular,3,nov,358,unknown,yes,None
76,retired,married,primary,no,1492,no,no,telephone,3,nov,383,unknown,yes,None
53,admin.,married,secondary,no,10541,no,no,cellular,9,nov,178,unknown,yes,None
24,student,single,tertiary,no,235,no,no,cellular,9,nov,118,unknown,yes,None
64,entrepreneur,married,tertiary,no,2331,no,no,telephone,9,nov,201,unknown,yes,None
42,management,married,tertiary,no,2816,no,no,cellular,10,nov,193,unknown,yes,None
49,management,married,primary,no,3371,no,no,cellular,11,nov,269,unknown,yes,None
40,management,married,tertiary,no,9366,no,no,cellular,11,nov,69,unknown,yes,None
32,technician,single,tertiary,no,6746,no,no,cellular,11,nov,199,unknown,yes,None
20,student,single,unknown,no,801,no,no,cellular,11,nov,244,unknown,yes,None
82,retired,divorced,tertiary,no,0,no,no,telephone,12,nov,226,unknown,yes,None
77,retired,divorced,secondary,no,3417,no,no,cellular,12,nov,134,unknown,yes,None
38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,unknown,yes,None
61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,unknown,yes,None
64,retired,married,unknown,no,679,no,no,telephone,16,nov,167,unknown,yes,None
63,management,married,tertiary,no,3115,no,no,cellular,16,nov,432,unknown,yes,None
23,student,single,secondary,no,1234,no,no,cellular,16,nov,250,unknown,yes,None
33,blue-collar,married,primary,no,195,no,no,cellular,16,nov,984,unknown,yes,None
40,admin.,married,tertiary,no,764,yes,no,unknown,17,nov,85,unknown,yes,None
71,retired,married,secondary,no,5715,no,no,cellular,17,nov,747,unknown,yes,None
78,retired,married,tertiary,no,1204,no,no,telephone,17,nov,135,unknown,yes,None
52,technician,married,secondary,no,234,no,no,cellular,17,nov,255,unknown,yes,None
31,management,single,tertiary,no,9421,no,no,cellular,25,nov,372,unknown,yes,None
31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,unknown,yes,None
46,housemaid,married,secondary,no,38,no,no,cellular,25,nov,541,unknown,yes,None
53,technician,married,secondary,no,1982,yes,yes,cellular,27,nov,160,unknown,yes,None
31,technician,married,secondary,no,318,no,no,cellular,2,dec,310,unknown,yes,None
26,blue-collar,single,tertiary,no,644,no,no,cellular,2,dec,346,unknown,yes,None
53,unemployed,married,primary,no,980,yes,no,cellular,3,dec,352,unknown,yes,None
39,technician,married,secondary,no,2983,no,no,cellular,3,dec,472,unknown,yes,None
72,retired,married,unknown,no,1940,no,no,telephone,4,dec,705,unknown,yes,None
29,management,single,tertiary,no,1445,no,no,cellular,4,dec,271,unknown,yes,None
26,student,single,tertiary,no,294,no,no,cellular,4,dec,208,unknown,yes,None
73,retired,divorced,primary,no,5028,no,no,cellular,4,dec,696,unknown,yes,None
31,technician,married,secondary,no,684,yes,no,cellular,7,dec,620,unknown,yes,None
30,student,single,secondary,no,1681,no,no,cellular,7,dec,329,unknown,yes,None
49,technician,married,secondary,no,307,no,no,cellular,9,dec,854,unknown,yes,None
59,unemployed,married,secondary,no,957,no,no,cellular,9,dec,479,unknown,yes,None
80,retired,married,primary,no,155,no,no,telephone,9,dec,343,unknown,yes,None
86,retired,single,secondary,no,614,no,no,telephone,9,dec,595,unknown,yes,None
69,retired,married,unknown,no,426,no,no,telephone,9,dec,395,unknown,yes,None
36,services,married,secondary,no,4721,no,no,cellular,9,dec,149,unknown,yes,None
49,management,married,tertiary,no,395,no,no,cellular,10,dec,336,unknown,yes,None
69,retired,married,secondary,no,3588,yes,no,cellular,10,dec,429,unknown,yes,None
64,retired,married,primary,no,43,no,no,cellular,10,dec,232,unknown,yes,None
53,entrepreneur,married,tertiary,no,1961,no,no,cellular,15,dec,351,unknown,yes,None
34,management,married,tertiary,no,2037,no,no,cellular,15,dec,324,unknown,yes,None
81,retired,divorced,secondary,no,452,no,no,telephone,16,dec,443,unknown,yes,None
72,retired,married,secondary,no,1533,no,no,cellular,16,dec,546,unknown,yes,None
66,housemaid,married,primary,no,1230,no,no,cellular,17,dec,726,unknown,yes,None
75,retired,divorced,secondary,no,1341,no,no,cellular,18,dec,415,unknown,yes,None
31,technician,married,tertiary,no,3338,yes,no,cellular,21,dec,264,unknown,yes,None
30,unemployed,divorced,secondary,no,7105,no,no,cellular,22,dec,321,unknown,yes,None
52,unemployed,divorced,secondary,no,230,no,no,cellular,24,dec,422,unknown,yes,None
33,management,married,tertiary,no,1808,no,no,cellular,28,dec,250,unknown,yes,None
25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,unknown,yes,None
44,management,married,unknown,no,2724,no,no,cellular,28,dec,893,unknown,yes,None
20,student,single,unknown,no,755,no,no,cellular,29,dec,284,unknown,yes,None
46,management,divorced,tertiary,no,461,no,no,cellular,30,dec,369,unknown,yes,None
70,retired,married,primary,no,2795,no,no,cellular,8,jan,301,unknown,yes,None
34,unemployed,single,secondary,no,15,no,no,cellular,12,jan,377,unknown,yes,None
25,blue-collar,single,secondary,no,2007,no,no,cellular,12,jan,265,unknown,yes,None
30,technician,married,tertiary,no,2166,no,no,cellular,12,jan,316,unknown,yes,None
28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,unknown,yes,None
87,retired,married,primary,no,2190,no,no,telephone,12,jan,512,unknown,yes,None
22,student,single,secondary,no,254,no,no,cellular,13,jan,143,unknown,yes,None
60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,unknown,yes,None
41,technician,single,unknown,no,5372,yes,no,cellular,13,jan,248,unknown,yes,None
24,student,single,secondary,no,3176,no,no,cellular,13,jan,108,unknown,yes,None
54,management,divorced,tertiary,no,496,no,no,cellular,13,jan,452,unknown,yes,None
35,technician,single,tertiary,no,0,no,no,cellular,14,jan,187,unknown,yes,None
45,admin.,married,secondary,no,5021,no,no,cellular,14,jan,233,unknown,yes,None
36,admin.,married,unknown,no,991,no,no,cellular,14,jan,589,unknown,yes,None
32,admin.,married,secondary,no,366,no,no,cellular,14,jan,366,unknown,yes,None
39,management,married,tertiary,no,2939,no,no,cellular,15,jan,348,unknown,yes,None
37,admin.,single,secondary,no,4803,no,no,cellular,15,jan,396,unknown,yes,None
85,retired,married,primary,no,1255,no,no,cellular,15,jan,233,unknown,yes,None
63,retired,married,secondary,no,474,no,no,cellular,25,jan,423,unknown,yes,None
30,admin.,single,secondary,no,255,no,no,cellular,27,jan,143,unknown,yes,None
44,technician,married,secondary,no,2776,yes,no,cellular,27,jan,701,unknown,yes,None
73,retired,married,primary,no,279,no,no,cellular,28,jan,399,unknown,yes,None
48,management,married,tertiary,no,157,no,no,cellular,28,jan,417,unknown,yes,None
30,blue-collar,married,secondary,no,2493,no,no,cellular,28,jan,293,unknown,yes,None
36,management,married,tertiary,no,3949,no,no,cellular,28,jan,130,unknown,yes,None
34,admin.,married,tertiary,no,0,no,no,cellular,28,jan,155,unknown,yes,None
52,blue-collar,married,primary,no,306,no,no,cellular,28,jan,223,unknown,yes,None
60,retired,married,secondary,no,18967,yes,no,cellular,29,jan,177,unknown,yes,None
45,management,single,tertiary,no,4831,no,no,cellular,29,jan,479,unknown,yes,None
60,management,married,unknown,no,264,no,no,telephone,1,feb,265,unknown,yes,None
33,entrepreneur,single,secondary,no,278,no,no,cellular,1,feb,563,unknown,yes,None
77,retired,married,tertiary,no,7802,no,no,telephone,1,feb,483,unknown,yes,None
45,management,married,tertiary,no,547,no,no,cellular,2,feb,577,unknown,yes,None
30,student,single,unknown,no,4468,no,no,cellular,2,feb,204,unknown,yes,None
64,housemaid,married,unknown,no,2645,no,no,telephone,3,feb,219,unknown,yes,None
34,management,married,tertiary,no,123,no,no,cellular,3,feb,301,unknown,yes,None
53,management,married,tertiary,no,6571,no,no,cellular,3,feb,208,unknown,yes,None
39,services,married,secondary,no,2758,no,no,cellular,4,feb,658,unknown,yes,None
76,retired,married,primary,no,2223,no,no,telephone,4,feb,429,unknown,yes,None
58,unemployed,married,secondary,no,1625,no,no,cellular,5,feb,286,unknown,yes,None
40,management,married,tertiary,no,1855,no,no,telephone,8,feb,78,unknown,yes,None
36,management,single,tertiary,no,479,no,no,cellular,9,feb,629,unknown,yes,None
36,student,single,unknown,no,417,no,no,cellular,10,feb,151,unknown,yes,None
30,admin.,single,secondary,no,4448,no,no,cellular,11,feb,112,unknown,yes,None
61,retired,married,tertiary,no,5267,no,no,cellular,11,feb,226,unknown,yes,None
71,retired,married,secondary,no,1712,no,no,cellular,11,feb,660,unknown,yes,None
26,unemployed,single,secondary,no,632,no,no,cellular,12,feb,218,unknown,yes,None
52,management,married,tertiary,no,4675,no,no,cellular,12,feb,181,unknown,yes,None
32,management,married,tertiary,no,905,no,no,cellular,12,feb,666,unknown,yes,None
49,services,married,primary,no,1830,yes,no,cellular,15,feb,136,unknown,yes,None
27,management,single,tertiary,no,-69,yes,no,cellular,15,feb,205,unknown,yes,None
28,student,single,tertiary,no,1562,no,no,cellular,15,feb,659,unknown,yes,None
34,management,single,tertiary,no,2159,no,no,unknown,18,feb,386,unknown,yes,None
